t_ms,power_w,temp_c,clock_mhz,label
83762,20.04,54,690,decoy2
83872,19.23,54,645,decoy2
83984,19.19,54,585,decoy2
84119,23.69,54,585,decoy2
84205,22.11,54,615,decoy2
84314,19.23,54,615,decoy2
84425,19.18,54,615,decoy2
84542,19.14,54,615,decoy2
84657,26.73,54,615,decoy2
84738,19.21,54,615,decoy2
84849,18.6,54,615,decoy2
84958,9.11,54,615,decoy2
85100,18.24,53,615,decoy2
85173,18.24,53,615,decoy2
85281,11.45,53,855,decoy2
85394,9.11,53,855,decoy2
85504,9.03,53,855,decoy2
85636,14.41,53,855,decoy2
85721,18.67,53,855,decoy2
85830,9.76,53,1005,decoy2
85942,9.23,53,1005,decoy2
86056,9.37,53,1005,decoy2
86170,17.51,53,1005,decoy2
86257,19.06,53,1740,decoy2
86386,25.62,53,1740,decoy2
86486,25.95,53,1740,decoy2
86564,26,53,1740,decoy2
86676,26.08,55,1740,decoy2
86784,34.09,55,1740,decoy2
86894,29.95,55,1740,decoy2
87004,26.08,55,1740,decoy2
87113,26.07,55,1740,decoy2
87228,32.35,55,1740,decoy2
87329,31.97,55,1740,decoy2
87425,26.12,55,1740,decoy2
87533,26.18,55,1740,decoy2
87684,26.46,56,1740,decoy2
87772,38.2,56,1740,decoy2
87862,38.98,56,1740,decoy2
87996,40.13,56,1740,decoy2
88095,38.16,56,1440,decoy2
88175,32.77,56,1440,decoy2
88287,31.21,56,1410,decoy2
88373,32.51,56,1410,decoy2
88484,23.91,56,1365,decoy2
88592,22.32,56,1365,decoy2
88717,22.84,55,1245,decoy2
88825,28.05,55,1200,decoy2
88934,21.19,55,1200,decoy2
89029,21.43,55,1095,decoy2
89156,22.78,55,1095,decoy2
89287,29.81,55,1065,decoy2
89357,29.81,55,1065,decoy2
89511,30.64,55,1335,decoy2
89612,31.8,55,1335,decoy2
89686,32.67,55,1410,decoy2
89798,30.9,55,1410,decoy2
89887,30.86,55,1410,cool
90000,22.9,55,1410,cool
90112,22.9,55,1410,cool
90223,22.91,55,1410,cool
90336,22.91,55,1410,cool
90445,22.84,55,1410,cool
90555,22.75,55,1410,cool
90666,22.77,55,1410,cool
90774,22.74,55,1410,cool
90886,22.75,55,1410,cool
90994,22.77,55,1410,cool
91106,22.75,55,1410,cool
91218,22.75,55,1410,cool
91328,22.8,55,1410,cool
91441,22.51,54,420,cool
91549,19.22,54,420,cool
91659,19.17,54,360,cool
91767,19.16,54,360,cool
91877,19.24,54,360,cool
91989,19.14,54,360,cool
92099,18.62,54,360,cool
92211,11.74,54,360,cool
92323,8.99,54,360,cool
92435,8.98,54,360,cool
92548,8.91,53,360,cool
92658,9.03,53,360,cool
92770,8.97,53,360,cool
92879,9.01,53,360,cool
92991,8.98,53,360,cool
93103,9.05,53,360,cool
93214,9.15,53,360,cool
93323,8.96,53,360,cool
93448,9.22,53,300,cool
93544,8.88,53,300,cool
93654,8.86,52,300,cool
93763,8.93,52,300,cool
93875,6.66,52,300,cool
93987,4.46,52,300,cool
94096,4.48,52,300,cool
94209,4.4,52,300,cool
94317,4.64,52,300,cool
94429,4.37,52,300,cool
94541,4.26,52,300,cool
94653,4.28,52,300,cool
94765,4.34,52,300,cool
94875,4.68,52,300,cool
94988,4.62,52,300,cool
95098,4.43,52,300,cool
95209,4.32,52,300,cool
95322,4.46,52,300,cool
95430,4.41,52,300,cool
95541,4.19,52,300,cool
95652,4.22,52,300,cool
95762,4.22,52,300,cool
95875,4.43,52,300,cool
95981,4.57,52,300,cool
96095,4.31,52,300,cool
96205,4.28,52,300,cool
96318,4.53,52,300,cool
96430,4.31,52,300,cool
96540,4.19,52,300,cool
96651,4.27,52,300,cool
96763,4.24,52,300,cool
96874,4.52,52,300,cool
96986,4.56,52,300,cool
97096,4.48,52,300,cool
97208,4.24,52,300,cool
97319,4.37,52,300,cool
97431,4.22,52,300,cool
97542,4.18,52,300,cool
97652,4.49,52,300,cool
97761,4.18,52,300,cool
97873,4.57,52,300,loop3
